title,price,link
Chile Billete 2.000 Pesos 2016 P-162 UNC (Polimero),"$5,00",https://www.argcollectibles.com/producto/chile-billete-2-000-pesos-2016-p-162-unc-polimero/
Uruguay Billete 1.000 Pesos 1974 P-52/CR-13A2.1 AU,"$6,00",https://www.argcollectibles.com/producto/uruguay-billete-1-000-pesos-1974-p-52-cr-13a2-1-au/
Guatemala Billete 1 Quetzal 2012 P-115 UNC (Polimero),"$2,00",https://www.argcollectibles.com/producto/guatemala-billete-1-quetzal-2012-p-115-unc-polimero/
Chile Billete 5 Pesos 1958 P-119 XF+,"$3,00",https://www.argcollectibles.com/producto/chile-billete-5-pesos-1958-p-119-xf/
Argentina Billete 10 Pesos 1897 P-245 UNC (Proof Front & Back),"$200,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1897-p-245-unc-proof-front-back/
Paraguay Billete 1 Peso 1865 P-21 VF+,"$55,00",https://www.argcollectibles.com/producto/paraguay-billete-1-peso-1865-p-21-vf/
Argentina Billete 5 Centavos P-1 F+ 1884,"$100,00",https://www.argcollectibles.com/producto/argentina-billete-5-centavos-p-1-f-1884/
Argentina Billete 50 Centavos 1895 P-230a/BOT-1052 F+,"$100,00",https://www.argcollectibles.com/producto/argentina-billete-50-centavos-1895-p-230a-bot-1052-f/
Francia Billete 100 Francos 1997 P-158 VF,"$5,00",https://www.argcollectibles.com/producto/francia-billete-100-francos-1997-p-158-vf-2/
Paraguay Billete 1 Guarani 1943 P-173 F,"$50,00",https://www.argcollectibles.com/producto/paraguay-billete-1-guarani-1943-p-173-f/
Bolivia Billlete 5 Bolivianos 1911 P-105a VF (Serie WW),"$20,00",https://www.argcollectibles.com/producto/bolivia-billlete-5-bolivianos-1911-p-105a-vf-serie-ww/
Bolivia Billlete 5 Bolivianos 1911 P-105a F+ (Serie D1),"$12,00",https://www.argcollectibles.com/producto/bolivia-billlete-5-bolivianos-1911-p-105a-f-serie-d1/
Bhutan Billete 50 Ngultrum 2013 P-32c UNC,"$6,00",https://www.argcollectibles.com/producto/bhutan-billete-50-ngultrum-2013-p-32c-unc/
Malasia Billete 50 Centavos 1941 P-10 AU,"$80,00",https://www.argcollectibles.com/producto/malasia-billete-50-centavos-1941-p-10-au/
Malasia Billete 20 Centavos 1941 P-9 AU,"$80,00",https://www.argcollectibles.com/producto/malasia-billete-20-centavos-1941-p-9-au/
Antigua Billete 1 Dolar 1965 P-13H UNC,"$35,00",https://www.argcollectibles.com/producto/antigua-billete-1-dolar-1965-p-13h-unc/
China Billete 1 Centavo 1940 P-S-1655 UNC (Amoy Industrial Bank),"$8,00",https://www.argcollectibles.com/producto/china-billete-1-centavo-1940-p-s-1655-unc-amoy-industrial-bank/
Argentina Billete 5 Pesos 1984 P-312/BOT-2608 AU (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1984-p-312-bot-2608-au-serie-a/
Argentina Billete 5 Pesos 1983 P-312/BOT-2607 UNC (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1983-p-312-bot-2607-unc-serie-a/
Argentina Billete 1 Peso 1983 P-311/BOT-2606 UNC (Reposicion),"$7,00",https://www.argcollectibles.com/producto/argentina-billete-1-peso-1983-p-311-bot-2606-unc-reposicion/
Argentina Billete 1 Peso 1984 P-311/BOT-2606 AU (Reposicion),"$6,00",https://www.argcollectibles.com/producto/argentina-billete-1-peso-1984-p-311-bot-2606-au-reposicion/
Argentina Billete 1 Peso 1984 P-311/BOT-2604 UNC (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-1-peso-1984-p-311-bot-2604-unc-serie-a/
Argentina Billete 1 Peso 1983 P-311/BOT-2603 UNC (Reposicion),"$7,00",https://www.argcollectibles.com/producto/argentina-billete-1-peso-1983-p-311-bot-2603-unc-reposicion/
Argentina Billete 1 Peso 1984 P-311/BOT-2602 AU (Serie A),"$2,00",https://www.argcollectibles.com/producto/argentina-billete-1-peso-1984-p-311-bot-2602-au-serie-a/
Argentina Billete 1 Peso 1983 P-311/BOT-2601 UNC (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-1-peso-1983-p-311-bot-2601-unc-serie-a/
Argentina Billete 1.000.000 Pesos 1983 P-310/BOT-2519 UNC (Serie B),"$40,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1983-p-310-bot-2519-unc-serie-b/
Argentina Billete 1.000.000 Pesos 1983 P-310/BOT-2519 AU (Serie B),"$35,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1983-p-310-bot-2519-au-serie-b/
Argentina Billete 1.000.000 Pesos 1983 P-310/BOT-2519 XF (Serie B),"$20,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1983-p-310-bot-2519-xf-serie-b/
Argentina Billete 1.000.000 Pesos 1983 P-310/BOT-2519 VF+ (Serie B),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1983-p-310-bot-2519-vf-serie-b-2/
Argentina Billete 1.000.000 Pesos 1982 P-310/BOT-2518 VF+ (Serie B),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1982-p-310-bot-2518-vf-serie-b/
Argentina Billete 1.000.000 Pesos 1982 P-310/BOT-2516 VF (Serie A),"$15,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1982-p-310-bot-2516-vf-serie-a/
Argentina Billete 1.000.000 Pesos 1982 P-310/BOT-2514 XF (Serie A),"$20,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1982-p-310-bot-2514-xf-serie-a/
Argentina Billete 1.000.000 Pesos 1981 P-310/BOT-2513 VF+ (Serie A),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1981-p-310-bot-2513-vf-serie-a-2/
Argentina Billete 1.000.000 Pesos 1981 P-310/BOT-2513 VF- (Serie A) (Numero Bajo),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-000-pesos-1981-p-310-bot-2513-vf-serie-a-numero-bajo/
Argentina Billete 500.000 Pesos 1981 P-309/BOT-2510 UNC (Serie A),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1981-p-309-bot-2510-unc-serie-a/
Argentina Billete 500.000 Pesos 1981 P-309/BOT-2510 VF+ (Serie A),"$4,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1981-p-309-bot-2510-vf-serie-a/
Argentina Billete 500.000 Pesos 1980 P-309/BOT-2509 AU (Reposicion),"$50,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1980-p-309-bot-2509-au-reposicion/
Argentina Billete 500.000 Pesos 1980 P-309/BOT-2509 VF+ (Reposicion),"$25,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1980-p-309-bot-2509-vf-reposicion/
Argentina Billete 500.000 Pesos 1980 P-309/BOT-2507 UNC (Serie A) (Numero Bajo),"$25,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1980-p-309-bot-2507-unc-serie-a-numero-bajo/
Argentina Billete 500.000 Pesos 1980 P-309/BOT-2507 UNC (Serie A),"$15,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1980-p-309-bot-2507-unc-serie-a/
Argentina Billete 500.000 Pesos 1980 P-309/BOT-2507 XF (Serie A),"$8,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1980-p-309-bot-2507-xf-serie-a/
Argentina Billete 500.000 Pesos 1980 P-309/BOT-2507 VF (Serie A),"$5,00",https://www.argcollectibles.com/producto/argentina-billete-500-000-pesos-1980-p-309-bot-2507-vf-serie-a/
Argentina Billete 1.000 Pesos 1984 P-317/BOT-2632 VF (Serie B),"$1,50",https://www.argcollectibles.com/producto/argentina-billete-1-000-pesos-1984-p-317-bot-2632-vf-serie-b/
Argentina Billete 1.000 Pesos 1984 P-317/BOT-2631 VF+ (Serie A),"$2,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-pesos-1984-p-317-bot-2631-vf-serie-a/
Argentina Billete 1.000 Pesos 1984 P-317/BOT-2629 VF+ (Serie A),"$7,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-pesos-1984-p-317-bot-2629-vf-serie-a/
Argentina Billete 1.000 Pesos 1983 P-317/BOT-2628 XF (Serie A),"$8,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-pesos-1983-p-317-bot-2628-xf-serie-a/
Argentina Billete 1.000 Pesos 1983 P-317a/BOT-2628 VF (Serie A),"$3,00",https://www.argcollectibles.com/producto/argentina-billete-1-000-pesos-1983-p-317a-bot-2628-vf-serie-a/
Argentina Billete 500 Pesos 1984 P-316/BOT-2627 UNC (Reposicion),"$50,00",https://www.argcollectibles.com/producto/argentina-billete-500-pesos-1984-p-316-bot-2627-unc-reposicion/
