id,Country,Status,War,DenomValue,DenomUnit,Year,Century,Condition,ExtraTags,Price
ZIM_2008_571978c9377524bafac29faac0d291fd,Zimbabwe,Existent,False,50.0,Trillon,2008,XXI,UNC,Certificado,120.0
EL _1995_0b054fcd0f499c25df1af7c6f326d3fe,El Salvador,Existent,False,50.0,Colon,1995,XX,UNC,Certificado,250.0
ARG_1937_b4d6b9bf8df5f3d3d7b09ef2fab91719,Argentina,Existent,False,50.0,Peso,1937,XX,F,,50.0
ARG_1971_6e1512e5b0566babba0cf4f60615d3fb,Argentina,Existent,False,100.0,Peso,1971,XX,UNC,,150.0
CHI_2023_3e8db3484a44a584b271b6a9bb7a9ee7,Chile,Existent,False,280.0,Test,2023,XXI,UNC,,40.0
EL _1999_de00ca11a071ca523c14a64a1ab2f5fb,El Salvador,Existent,False,25.0,Colon,1999,XX,AU,,80.0
ARG_2020_b89ff9f4f883eef875b219e8363c178a,Argentina,Existent,False,200.0,Peso,2020,XXI,UNC,,15.0
PER_1984_68004c2f1466386429ba818538d9b79d,Peru,Existent,False,50000.0,Sol,1984,XX,AU,,15.0
ESC_2005_e79b6e0eced832a6644392d3d95140a3,Escocia,Existent,False,5.0,Pound,2005,XXI,UNC,Aniversario,30.0
ARG_2004_224d1be5cf77cc760ebb61d2179af185,Argentina,Existent,False,20.0,Peso,2004,XXI,UNC,,25.0
ARG_2008_c5d63c15d64fa96b7b2ef6dd54937659,Argentina,Existent,False,20.0,Peso,2008,XXI,UNC,,10.0
ARG_2009_7a5b061d1d2bf957ea6ec40aacb255ba,Argentina,Existent,False,10.0,Peso,2009,XXI,UNC,,4.0
ARG_1998_fa394969b4b2c83247e6d909d984e389,Argentina,Existent,False,10.0,Peso,1998,XX,UNC,,25.0
ARG_1992_8a2308e999a5cd651e0d4f35d50177b7,Argentina,Existent,False,20.0,Peso,1992,XX,XF,,25.0
ARG_1995_f7279f7b1a482f190c8f23491255d2d3,Argentina,Existent,False,10.0,Peso,1995,XX,VF,,5.0
ARG_1994_74f3e84a8ea20347d07f753d5d3930fb,Argentina,Existent,False,10.0,Peso,1994,XX,VF,,4.0
ARG_1993_cd3c884670086ea42ffeb5a729aa0735,Argentina,Existent,False,1.0,Peso,1993,XX,XF,,2.0
ARG_1989_459091fb78cfef9dc4d8fa3208805a68,Argentina,Existent,False,100.0,Australes,1989,XX,UNC,,2.0
ARG_1985_ae0864f93fb0c6d1fef06cece6035e97,Argentina,Existent,False,10.0,Australes,1985,XX,XF,,5.0
ARG_1985_24d77fff186379b54916c1e1a4f00855,Argentina,Existent,False,10.0,Australes,1985,XX,VF,,2.0
ARG_1984_ad46b38ec40b3fa55140afc66545c1a9,Argentina,Existent,False,1000.0,Peso,1984,XX,UNC,,3.0
ARG_1985_70cf5238c28aab30fd834a0ac1b12156,Argentina,Existent,False,50.0,Peso,1985,XX,AU,,1.0
ARG_1977_7b46d305b9968e851652395b278f8867,Argentina,Existent,False,10000.0,Peso,1977,XX,XF,,8.0
ARG_1978_80de9e0ef20b50bb96b79d07634609fc,Argentina,Existent,False,10000.0,Peso,1978,XX,UNC,,5.0
ARG_1978_90a80a00630718488dd5087de368bf75,Argentina,Existent,False,10000.0,Peso,1978,XX,UNC,,5.0
ARG_1977_9e5ac3c7003cd19dc7c6b33354e794ec,Argentina,Existent,False,10000.0,Peso,1977,XX,UNC,,8.0
ARG_1980_b72616da827112ab9ba61bbc68859385,Argentina,Existent,False,5000.0,Peso,1980,XX,XF,,8.0
ARG_1979_965125fa98fb2a98965aa77763c51d72,Argentina,Existent,False,1000.0,Peso,1979,XX,UNC,,2.0
ARG_1979_692bb15d4dc4d5760e91ce402abc42e3,Argentina,Existent,False,500.0,Peso,1979,XX,UNC,,2.0
ARG_1978_fe64f17a9806205d13a4ed326a42501c,Argentina,Existent,False,500.0,Peso,1978,XX,UNC,,2.0
ARG_1978_742d0bec448847e706065272fcbb0890,Argentina,Existent,False,100.0,Peso,1978,XX,UNC,,2.0
ARG_1978_3bc2b4bdc89f40c2e7bc58db4f0cea13,Argentina,Existent,False,100.0,Peso,1978,XX,AU,,3.0
ARG_1975_08d96c186e71647eb8b400d7abbece2a,Argentina,Existent,False,100.0,Peso,1975,XX,AU,,4.0
ARG_1978_5a35f4c15410e7c2a52d8da9df4268d6,Argentina,Existent,False,50.0,Peso,1978,XX,UNC,,5.0
